Target,MSE,R2
0.1.1_MinMaxLog_Log.csv,0.056964876351371534,0.23591894011936587
0.1.1_MinMaxLog_MaxAbsScaler().csv,0.06145923935138975,0.26675948418614803
0.1.1_MinMaxLog_None.csv,0.06749268527858582,0.3083655711191827
0.1.1_MinMaxLog_PowerTransformer().csv,0.06516955491466482,0.29669914050386625
0.1.1_MinMaxLog_PowerTransformer(standardize=False).csv,0.07083267315359983,0.2424950470956183
0.1.1_MinMaxLog_RobustScaler().csv,0.07174487554727968,0.30326506440822387
0.1.1_MinMaxLog_StandardScaler().csv,0.0621143785267733,0.313012846584514
0.1.1_MinMax_MaxAbsScaler().csv,6167.800405689226,0.3112211474539287
0.1.1_MinMax_None.csv,6021.183110652356,0.3212113259978423
0.1.1_MinMax_PowerTransformer().csv,6435.503357731094,0.29569212546603363
0.1.1_MinMax_PowerTransformer(standardize=False).csv,6281.809567653886,0.31028587035263144
0.1.1_MinMax_RobustScaler().csv,6202.619380801397,0.31740989769836514
0.1.1_MinMax_StandardScaler().csv,6276.947315299255,0.28368821914853093
0.1.1_NormLog_Log.csv,0.05859650792469681,0.29993959170798556
0.1.1_NormLog_MaxAbsScaler().csv,0.06624734662824623,0.2817528034043748
0.1.1_NormLog_None.csv,0.06277509772738477,0.27688722891645146
0.1.1_NormLog_PowerTransformer().csv,0.06144463141357704,0.32378755296313655
0.1.1_NormLog_PowerTransformer(standardize=False).csv,0.073839149888555,0.282710834128722
0.1.1_NormLog_RobustScaler().csv,0.06520156111815527,0.3226237922596409
0.1.1_NormLog_StandardScaler().csv,0.06922854531452428,0.3129934848386693
0.1.1_Norm_MaxAbsScaler().csv,6636.01215460512,0.2942276965701124
0.1.1_Norm_None.csv,6309.766045711098,0.32197161390300644
0.1.1_Norm_PowerTransformer().csv,6309.136310066207,0.31685167623650834
0.1.1_Norm_PowerTransformer(standardize=False).csv,6202.348605162209,0.3202471721215523
0.1.1_Norm_RobustScaler().csv,5990.9103203786935,0.31714033146045595
0.1.1_Norm_StandardScaler().csv,6385.5755709331415,0.3121953580065401
