,r2,mse,1,14,27,40,53,67,80,93,106,120
1,0.10594654280318883,3.9076596158073813,,,,,,,,,,
15,0.7975945497711566,9.30675840634118,,,,,,,,,,
29,0.8165243815123798,8.436350171340266,,,,,,,,,,
43,0.8209726459460843,8.231815548556138,,,,,,,,,,
57,0.8238302947905722,8.100418654965871,,,,,,,,,,
71,0.5118833661115214,2.133422383970451,,,,,,,,,,
85,0.8292956945372101,7.849115367536963,,,,,,,,,,
99,0.8295626998294267,7.83683825866927,,,,,,,,,,
113,0.8267258900157558,7.967276957581391,,,,,,,,,,
127,0.8223292105099068,8.1694396656744,,,,,,,,,,
18,0.5360398011511417,2.027841308357632,,,,,,,,,,
36,0.5478057306420231,1.976415694884686,,,,,,,,,,
53,0.5253889914659247,2.0743930425381207,,,,,,,,,,
88,0.5203921564902504,2.096232821898202,,,,,,,,,,
106,0.5056962526828659,2.1604645402184466,,,,,,,,,,
123,0.49312492979400036,2.2154103047861695,,,,,,,,,,
141,0.5096266863809833,2.1432857049809013,,,,,,,,,,
159,0.5096266863809833,2.1432857049809013,,,,,,,,,,
